"编号","所属产品","平台/分支","所属模块","所属计划","来源","来源备注","研发需求名称","描述","验收标准","关键词","优先级","预计工时","当前状态","所处阶段","类别","T","B","C","由谁创建","创建日期","指派给","指派日期","抄送给","评审者","评审时间","由谁关闭","关闭日期","关闭原因","最后修改","最后修改日期","细分研发需求","相关研发需求","重复研发需求","附件"
"1424","","","","","","","【老彩票后台】fastupi下的通道“26003/26004”这些通道的代付前台订单增加联系客服入口","

具体样式以UI设计稿为准！


<img src=““{15635.png}““ alt=““““ />","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"1423","","","","","","","【老彩票后台】FASTUPI增加3个新的银行","slice这个银行的需要增加一个新的pin码输入的


<img src=““{15630.png}““ alt=““““ />
<img src=““{15631.png}““ alt=““““ />","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"1376","","","","","","","【老彩票后台】自动出款新增AR钱包bank出款开关","<img src=““{14821.png}““ alt=““““ />","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"1371","","","","","","","【ARUPI】针对10444/10445两个通道进行非整百提现限制的开关配置","<img src=““{14794.png}““ alt=““““ /><img src=““{14795.png}““ alt=““““ />

","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"1332","","","","","","","【老彩票后台】前端-新增FAST UPI提现大类","新增FAST UPI的提现大类
目前UPI和FAST UPI的提现柔和在一起，需要拆分开重新独立一个大类
旧的UPI的逻辑不变动，新的UPI的走新的KYC的流程




<img src=““{14258.png}““ alt=““““ />","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"1331","","","","","","","【老彩票后台】后台-新增快捷KYC UPI提现大类","1，配置管理 - 提现配置  增加FAST UPI大类
2，报表管理 - 数据统计 - 提现类型新增FAST UPI大类统计
3，会员管理 - 电子钱包查询，钱包名称筛选增加“FAST UPI”
4，配置管理 - 参数配置 - 绑定银行卡增加FAST UPI绑定数量


因现在UPI和Fast UPI是柔和在一起的，需要单独拆分出来
以前旧的UPI走旧的逻辑，新的Fast UPI走新的KYC的逻辑




<img src=““{14257.png}““ alt=““““ />
<img src=““{14259.png}““ alt=““““ />","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"1317","","","","","","","【老彩票后台】AR UPIPAY状态优化","AR UPIPAY：若是钱包那边因异常情况导致他们未生成订单，彩票这边发起的订单照常保留，不受他们订单的影响，我们这边订单能够正常查询到","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"1211","","","","","","","【老彩票后台】UPI类型提款风险提示弹窗","<img src=““{13539.png}““ alt=““““ />","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"1117","","","","","","","【老彩票后台】代付通道ID： 10505归属修改为UPI大类","目前代付通道ID： 10505归属在bank类型下，需要修改到UPI的出款类型下面
<img src=““{13021.png}““ alt=““““ />
","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"1038","","","","","","","【老彩票后台】ARB增加自动出款开关","<img src=““{12586.png}““ alt=““““ />","","","","","","","","3","","9","","","","","","","","","","","","","","","","",""
"969","","","","","","","【快捷提现】快捷提现新增UPI快捷大类","需求如下


https://beck666888.github.io/ar-upi-docs/lottery_docs_index.html
<img src=““{12596.png}““ alt=““““ />","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"958","","","","","","","【ARpay】电子钱包查询增加ARpay类型","<img src=““{11812.png}““ alt=““““ />","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"938","","","","","","","【ARUPI】ARUPI 收银台，aritel通道字段优化","以下方钱包需求为准
https://www.figma.com/design/5B9ieDh6snYGYHLVzUjpCr/AR-Wallet?node-id=15-106","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"934","","","","","","","【ARUPI代付】前端发起UPI提款，走自动出款逻辑也分配到ARUPI代付10444通道","用户前端发起UPI提现，提现金额在自动出款的金额区间，后台分配通道默认分配到ARUPI代付通道（10444），不能匹配到银行卡或者是其他关闭的通道","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"932","","","","","","","【ARUPI 提现】前端ARUPI方式限制整百提现提示","需求内容如下


<img src=““{9587.png}““ alt=““““ />","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"931","","","","","","","【ARUPI提现】AR UPI提现后台出款方式优化","具体需求内容如下
<img src=““{9586.png}““ alt=““““ />

","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"922","","","","","","","【ARUPI】重新复制一个ARUPI一样的通道","前后台重新复制一个ARUPI 一样的通道出来，前端两个入口能同时开启，金流走向还是走同一个ARUPI的通道","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"912","","","","","","","【ARUPI】收银台前端文案优化","AR UPI前端文案优化优化内容以下方需求链接的内容为准！

https://www.figma.com/design/1dXanv6eGmZBDtqic95wmV/dowi%E4%BA%A7%E5%93%81%E9%9C%80%E6%B1%82?node-id=105-151&p=f&t=YjBUl7NuTEvLKGFM-0
<img src=““{8380.png}““ alt=““““ />","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"911","","","","","","","【ARUPI】增加ARUPI收银台取消UTR填写的开关","需求说明：
ARUPI通道新增后台开关
开启则如图一需求所示隐藏UTR输入框
关闭则保持和目前线上一致即可


收银台前端调整如需求图所示


<img src=““{8378.png}““ alt=““““ /><img src=““{8379.png}““ alt=““““ />","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"910","","","","","","","【ARUPI】ARUPI收银台页面做多语言印度语翻译","AR UPI 收银台页面增加印度语翻译，如果站点语种是英语或除印度语之外的语种都显示英语，如果站点语种是印度语的话，就显示印地语","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"908","","","","","","","【ARUPI】收银台未支付跳回弹窗优化","需求说明：
1，在彩票端和钱包端的第一次买入取消弹窗中增加填写UTR的跳转提示；
注意：彩票端的修改仅针对订单和收银台都未过期的情况，其余情况不做修改。 2，第二次买入取消弹窗的触发页面前置；
3，优化现有弹窗的文字表述；
4，彩票端需要做一个和钱包一样的单独输入UTR的界面；




需求链接：
https://www.figma.com/design/1dXanv6eGmZBDtqic95wmV/dowi%E4%BA%A7%E5%93%81%E9%9C%80%E6%B1%82?node-id=138-520&t=32zkDHBQb5EMznaj-0
UI链接：
https://www.figma.com/design/fYKkv65WD4QLnlmImUHW2O/AR-Wallet?node-id=9141-4109&t=rMpQMfX03rOeIXS2-0
<img src=““{8164.png}““ alt=““““ />

","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"902","","","","","","","【ARPAY】ARPAY 充值交易规则跳转修改成内嵌","ARPAY 交易规则由外跳修改为内嵌




<img src=““{8058.png}““ alt=““““ />","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"899","","","","","","","【ARUPI】ARUPI钱包订单待支付的场景下，再次下单新增取消原因和二次确认","1，彩票端收银台过期，但是钱包订单还是待支付的场景下，用户再下一笔充值订单的弹框取消按钮，新增取消原因和二次确认


需求圆形文档如下
https://www.figma.com/design/1dXanv6eGmZBDtqic95wmV/dowi%E4%BA%A7%E5%93%81%E9%9C%80%E6%B1%82?node-id=34-32&p=f&t=xDYkHJOb23hInpmA-0


","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"898","","","","","","","【ARUPI】充值空单切换通道改成后台配置","ARUPI 充值空单切换
旧方案：
固定的空单通道切换
新方案：
通道做成配置，按照充值额度不同配置不同的通道




<img src=““{7890.png}““ alt=““““ />
<img src=““{7891.png}““ alt=““““ />","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
